City,Total,Male,Female
Adak,50.1,50.1,50.2
Akhiok,50.4,55.1,49
Akiachak,24.9,26.1,23.7
Akiak,26,19.8,30.9
Akutan,40.8,41,40
Alakanuk,21.8,24,19.9
Alatna,44,45.6,43.2
Alcan Border,13.9,14.2,13.7
Aleknagik,36.2,49.5,31.8
Aleneva,,,
Allakaket,26.2,26.4,9.8
Ambler,29.9,35.5,29.6
Anaktuvuk Pass,24,31.1,20.5
Anchorage,34.5,33.7,35.4
Anchor Point,51.2,51.7,49.8
Anderson,30.4,23.4,38.4
Angoon,44.9,48.3,44
Aniak,38.1,38.2,36.9
Anvik,24.5,26.5,24.2
Arctic Village,20.9,21.5,20.4
Atka,13.5,19.5,10.5
Atmautluak,26,26.7,25.5
Atqasuk,23.6,23.5,26.3
Attu Station,,,
Badger,34.7,33.7,35.1
Bear Creek,44.9,45.4,44.5
Beaver,48.2,58.5,31.4
Beluga,,,
Bethel,30.8,29.7,32.6
Bettles,,,
Big Delta,54.4,54.1,56.1
Big Lake,35.8,36.6,34.8
Birch Creek,,,
Brevig Mission,22,23,21.5
Buckland,22.2,21.8,22.4
Buffalo Soapstone,41.4,41.9,40.6
Butte,42.3,41.8,42.9
Cantwell,65.4,66.8,61.5
Central,56.7,60.4,32
Chalkyitsik,32.8,32.9,29.8
Chase,,,
Chefornak,25.2,23.2,30.6
Chena Ridge,37.7,39.1,36.1
Chenega,30.5,33.6,21.5
Chevak,35.9,52.2,30.5
Chickaloon,59,59.4,57.3
Chicken,,,
Chignik,44.5,39.6,61
Chignik Lagoon,40.8,49,18.9
Chignik Lake,35.3,19.7,35.8
Chiniak,,,
Chisana,,,
Chistochina,60.2,,60.4
Chitina,46.5,52.5,24.3
Chuathbaluk,28.5,31.5,28.3
Circle,52.7,52.2,62.3
Clam Gulch,42.1,37.4,47.1
Clark's Point,24.8,28.3,24.7
Coffman Cove,38.2,38.4,34.6
Cohoe,47.2,47.1,48.1
Cold Bay,44.3,51.4,44.1
Coldfoot,33.9,56.8,
College,32.9,30.1,39.2
Cooper Landing,28.9,9.6,33
Copper Center,35.1,39.8,28.7
Cordova,36.9,40.4,34.4
Covenant Life,46.5,,
Craig,38.5,39.1,37.8
Crooked Creek,46,27.8,46.3
Crown Point,49.4,49.4,39
Deering,24.5,29.1,22.5
Delta Junction,36,36.1,35.3
Deltana,33.2,36.7,30.9
Denali Park,44.5,44.6,38
Diamond Ridge,40.2,37.7,40.7
Dillingham,32.3,30.6,33.4
Diomede,27.4,41.5,13.3
Dot Lake,,,
Dot Lake Village,,,
Dry Creek,50.4,52.3,50.1
Eagle,69.8,70,66.9
Eagle Village,35.7,60.3,3.9
Eareckson Station,51,44.9,60.6
Edna Bay,43.1,,
Eek,26,27.5,23
Egegik,44.7,41.9,44.8
Eielson AFB,22.1,22.2,21.7
Ekwok,30.5,28.3,41.5
Elfin Cove,73.4,,
Elim,19.9,19.3,26.5
Emmonak,26.8,27.9,23.6
Ester,38.8,34,48.4
Eureka Roadhouse,,,
Evansville,49.6,49.3,63.5
Excursion Inlet,53.7,55.8,53.4
Fairbanks,28.1,27.1,28.9
False Pass,32.1,22.6,39.2
Farmers Loop,35.2,37.1,30.3
Farm Loop,40.9,40.3,41.7
Ferry,56.2,65.5,
Fishhook,39,35.7,40.3
Flat,,,
Fort Greely,27,28.5,24.6
Fort Yukon,43.7,46.9,41.4
Four Mile Road,,,
Fox,59.7,,
Fox River,22,24,17.4
Fritz Creek,47.4,48.7,46
Funny River,57.9,60.7,56
Gakona,50.5,57.1,48.3
Galena,32.1,28.4,34.1
Gambell,25.8,27,24.4
Game Creek,,,
Gateway,33.2,31.7,34.4
Glacier View,54.2,42.6,57.4
Glennallen,33.6,34.2,30.2
Goldstream,41.7,48.4,38.8
Golovin,28.8,28.3,36.5
Goodnews Bay,32.8,33.5,32.6
Grayling,31,35.8,29.5
Gulkana,47.1,46.7,47.6
Gustavus,48.2,47.8,48.3
Haines,41.3,37.3,43.1
Halibut Cove,40.7,40.3,48.5
Happy Valley,58.5,54.1,59
Harding-Birch Lakes,59.1,52.9,59.5
