City,State,Region,Percentile,Population,Car,Alone,Carpool,Carpool2,Carpool3,Carpool4,Public,Walk,Other,Home
New York,New York,Northeast,25,19908596,0.5138,0.4491,0.0648,0.0458,0.0104,0.0086,0.2395,0.0537,0.0327,0.1602
Los Angeles,California,West,25,13111917,0.7559,0.6584,0.0975,0.0691,0.0166,0.0118,0.0313,0.022,0.0237,0.1671
Chicago,Illinois,Midwest,25,9566955,0.7105,0.6309,0.0796,0.0578,0.0132,0.0087,0.0696,0.0258,0.0214,0.1727
Dallas,Texas,Southwest,25,7673379,0.7858,0.6953,0.0905,0.0669,0.0144,0.0092,0.0059,0.0125,0.0157,0.1801
Houston,Texas,Southwest,25,7142603,0.8197,0.7147,0.1051,0.0752,0.0192,0.0107,0.014,0.0407,0.0254,0.1301
Washington D.C.,District of Columbia,Northeast,25,6346083,0.6415,0.567,0.0745,0.0547,0.0124,0.0074,0.0608,0.0256,0.0256,0.2465
Philadelphia,Pennsylvania,Northeast,25,6232894,0.7022,0.632,0.0702,0.0524,0.0107,0.0071,0.0547,0.0313,0.0234,0.1885
Miami,Florida,Southeast,25,6123949,0.7838,0.6903,0.0934,0.0672,0.0155,0.0107,0.0232,0.0161,0.0288,0.1481
Atlanta,Georgia,Southeast,25,6094752,0.7491,0.6647,0.0845,0.0591,0.0155,0.0099,0.0133,0.0115,0.0181,0.208
Boston,Massachusetts,Northeast,25,4912449,0.6544,0.5896,0.0648,0.0503,0.0082,0.0063,0.0788,0.0426,0.0281,0.1962
Phoenix,Arizona,Southwest,25,4864209,0.7358,0.6386,0.0972,0.072,0.0164,0.0088,0.0084,0.0132,0.0242,0.2184
San Francisco,California,West,25,4692242,0.5947,0.5086,0.0862,0.0635,0.0144,0.0083,0.0754,0.0379,0.0327,0.2593
Riverside,California,West,25,4610050,0.8381,0.7279,0.1102,0.0806,0.0167,0.013,0.0051,0.0147,0.0161,0.126
Detroit,Michigan,Midwest,25,4375604,0.8001,0.7271,0.0731,0.0552,0.0103,0.0076,0.008,0.0136,0.0152,0.1629
Seattle,Washington,West,25,4001701,0.6549,0.5745,0.0803,0.0626,0.0107,0.007,0.0473,0.0319,0.0182,0.2477
Minneapolis,Minnesota,Midwest,25,3678328,0.7364,0.6655,0.0709,0.0537,0.0099,0.0072,0.0197,0.0187,0.0183,0.2069
San Diego,California,West,25,3289701,0.7484,0.6619,0.0865,0.0589,0.0158,0.0118,0.0196,0.0298,0.0201,0.1822
Tampa,Florida,Southeast,25,3194310,0.7455,0.6625,0.0831,0.0614,0.0133,0.0083,0.007,0.0117,0.0228,0.213
Denver,Colorado,West,25,2959386,0.7041,0.631,0.0731,0.0551,0.0101,0.0078,0.0226,0.0185,0.0173,0.2376
Baltimore,Maryland,Northeast,25,2840005,0.755,0.6769,0.0781,0.0605,0.0099,0.0078,0.0272,0.0191,0.0176,0.1811
St. Louis,Missouri,Midwest,25,2813523,0.8,0.7359,0.0642,0.0488,0.0088,0.0066,0.0125,0.0163,0.0126,0.1585
Orlando,Florida,Southeast,25,2679298,0.7797,0.6861,0.0936,0.0711,0.0128,0.0097,0.0104,0.0127,0.0165,0.1807
Charlotte,North Carolina,Southeast,25,2668688,0.7506,0.6659,0.0847,0.0598,0.0155,0.0095,0.0074,0.0116,0.0131,0.2173
San Antonio,Texas,Southwest,25,2570862,0.8,0.6861,0.1139,0.0851,0.0177,0.011,0.0143,0.0181,0.0181,0.1495
Portland,Oregon,West,25,2505312,0.6868,0.6146,0.0722,0.0559,0.0096,0.0067,0.0287,0.0326,0.0222,0.2296
Sacramento,California,West,50,2394673,0.75,0.6599,0.0902,0.0673,0.0125,0.0104,0.0089,0.0184,0.0244,0.1983
Pittsburgh,Pennsylvania,Northeast,50,2365501,0.7513,0.683,0.0682,0.0562,0.0062,0.0058,0.0302,0.0311,0.0137,0.1738
Austin,Texas,Southwest,50,2296377,0.6727,0.6025,0.0701,0.0529,0.0114,0.0059,0.0113,0.0184,0.018,0.2796
Las Vegas,Nevada,West,50,2265926,0.8057,0.7004,0.1053,0.0768,0.0193,0.0092,0.0233,0.012,0.0301,0.1289
Cincinnati,Ohio,Midwest,50,2253528,0.8036,0.7249,0.0787,0.0617,0.0103,0.0067,0.013,0.0182,0.0138,0.1513
Kansas City,Missouri,Midwest,50,2190750,0.7946,0.7308,0.0638,0.0503,0.0081,0.0054,0.0051,0.0108,0.0128,0.1766
Columbus,Ohio,Midwest,50,2137223,0.7729,0.6973,0.0756,0.0605,0.0081,0.007,0.0124,0.0164,0.0139,0.1845
Indianapolis,Indiana,Midwest,50,2109957,0.8164,0.7262,0.0902,0.0669,0.0156,0.0077,0.0057,0.0127,0.0143,0.1509
Cleveland,Ohio,Midwest,50,2079759,0.7902,0.7208,0.0694,0.0536,0.0086,0.0073,0.017,0.0235,0.0138,0.1555
San Juan,Puerto Rico,Southeast,50,2073546,0.8763,0.8097,0.0666,0.0539,0.0087,0.004,0.0106,0.0274,0.024,0.0616
Nashville,Tennesse,Southeast,50,1990873,0.7709,0.695,0.076,0.0569,0.0128,0.0063,0.0071,0.0111,0.0172,0.1937
San Jose,California,West,50,1981584,0.6873,0.5978,0.0894,0.066,0.0144,0.009,0.0203,0.0195,0.0293,0.2436
Virginia Beach,Virginia,Southeast,50,1798025,0.8423,0.7614,0.0809,0.0604,0.0127,0.0078,0.0071,0.0212,0.018,0.1114
Providence,Rhode Island,Northeast,50,1670949,0.8173,0.7353,0.0819,0.0604,0.0128,0.0087,0.0137,0.0232,0.0185,0.1273
Jacksonville,Florida,Southeast,50,1613587,0.7766,0.6943,0.0822,0.0646,0.0117,0.006,0.0051,0.0118,0.0178,0.1888
Milwaukee,Wisconsin,Midwest,50,1568940,0.8008,0.7261,0.0746,0.0595,0.0095,0.0057,0.0177,0.0224,0.0127,0.1464
