Area Code,Total,Veteran,Male,Female,Nonveteran,Male,Female
62001,40028,56111,56944,,37731,53309,28393
62002,32995,41855,40161,57000,31715,39074,27605
62006,31667,70250,70250,,30720,33125,30484
62009,26858,49375,52500,,23323,30556,20694
62010,38415,64375,64375,,36862,49915,30973
62012,40058,47333,50313,43482,39444,47708,28075
62013,39250,65375,,,36000,41971,29858
62014,42385,57083,60625,,40761,57019,27206
62017,35741,,,,31250,52000,19896
62018,23694,,,,22197,41190,17662
62019,24236,,,,24306,37969,23403
62021,59792,65559,65559,,48977,71724,40298
62022,37750,70800,,,36488,32500,36726
62023,30250,,,,27031,33750,25781
62024,35249,31959,32431,,35782,41024,30833
62025,48577,55000,54625,,47694,66498,35504
62026,5076,,,,5076,5200,5022
62027,38750,,,,37159,45865,31071
62028,8622,43393,38625,,6938,7333,
62030,21771,,,,21667,,28500
62031,41250,46042,46042,,39423,46089,27121
62033,35234,33750,35385,,35339,55645,26964
62034,47999,69667,69833,,46379,57416,40254
62035,42459,57083,52841,62023,41266,50970,37013
62036,29583,17165,17165,,35590,66806,17500
62037,39860,51250,50000,,39607,59315,37658
62040,34266,44281,44257,55066,32498,41103,26649
62044,35000,33846,32981,61563,35283,57333,25723
62045,30341,30705,30638,,25500,,23214
62046,49250,64792,64792,,47216,57417,33000
62047,31480,62813,62813,,27361,,29063
62048,31851,33125,33125,,31755,36818,29207
62052,35853,42401,42401,,35022,52700,26437
62053,20417,,21813,,15917,,17250
62054,23583,35714,36071,,21563,30365,13750
62056,30596,48587,48152,55500,29824,41168,24434
62058,39201,35625,35625,,39722,54605,32813
62059,46109,,,,46156,46641,
62060,23329,33125,32750,,23029,31600,20889
62061,42768,41161,41161,,43170,56700,25938
62062,49730,62000,68114,,48831,58182,38478
62063,27907,,,,24286,36406,
62067,41354,35208,35208,,41736,51276,30191
62069,28633,36576,41333,23938,27562,40833,20130
62074,39948,56402,56402,,38828,56875,32455
62077,37500,55000,58750,,35000,50625,16771
62079,26806,,,,,84306,21923
62084,34783,27321,27321,,34891,58139,20368
62085,28250,73304,73304,,25625,19821,27917
62086,27083,50257,46250,51354,24844,25938,23158
62087,27643,36932,36932,,26865,46033,22798
62088,35184,47870,48009,,34909,39574,28411
62090,22399,,,,21650,30278,17269
62093,37645,29808,34375,,37761,38712,22292
62095,36163,42445,42353,42813,35444,41706,30085
62097,37184,62037,61898,,35165,47188,27079
62201,16557,15541,14839,55234,16690,33846,12282
62203,26820,17464,,,27578,27910,24957
62204,24297,64808,70524,,23047,24603,21778
62205,23730,,12292,,24162,24512,23650
62206,23288,37831,33500,59250,22346,25052,21620
62207,22645,46982,47165,,21699,23617,20574
62208,39788,51984,59484,,38414,48118,32261
62215,49112,69318,69659,,47344,62765,38203
62216,50536,56618,59625,47986,49293,62875,37102
62218,48787,70250,70250,,48750,53393,38095
62219,37790,30833,29688,,37879,41500,31354
62220,36420,54482,53689,55304,35080,41578,31672
62221,40485,68750,72912,56938,37205,43649,34867
62223,38013,57438,58097,31944,35706,45918,33015
62225,56250,85856,85994,,39738,34308,42836
62226,39467,56124,56646,55485,38144,45828,31256
62230,38964,61875,61518,81000,37729,50946,31930
62231,38530,46964,46964,,37839,49750,32128
62232,35165,45268,43447,,33759,43939,25516
62234,37614,55047,54955,,36586,47646,28430
62236,55867,60521,60104,,55758,69724,46796
62239,34295,,,,34530,39570,30953
62240,30976,26875,,,31118,34813,30713
62243,40244,66786,60577,83244,36761,49708,26610
62244,54620,85962,85962,,54076,58750,50417
62245,51659,61375,61667,,51298,61618,42031
62246,35501,59528,59360,,33812,42134,26583
62248,47188,62083,63750,,46250,50524,39250
62249,48410,63750,63990,,46093,61586,35492
62250,33850,41250,41250,,32750,40667,19519
62253,20536,24167,24167,,19236,,20417
62254,36526,66050,67050,,31682,34835,29477
62255,36544,51318,51318,,31477,50144,24265
62256,58750,,,,51250,78750,
62257,39157,58333,57750,100625,34634,44375,31422
62258,40435,79769,87250,54315,33967,45313,29862
62260,48242,55188,53393,,47108,67817,39412
62262,32031,32250,32250,,32002,33438,30822
62264,36875,52308,51635,,34437,53772,24741
62265,52705,87500,93333,86908,47621,56970,41439
62266,,,,,,,
62269,51488,83382,91144,62852,44915,58769,37202
62273,24155,43125,43125,,24054,33281,23527
62275,33076,50833,47083,,32316,42118,23894
62277,39375,39583,39306,,39107,50078,25667
62278,40963,55144,55433,,39761,53958,31250
62279,,,,,,,
62281,53958,71150,97639,,51250,70294,36667
62282,56131,57344,57344,,55385,58636,48333
62284,26103,45769,39583,,25441,,24474
62285,53188,68697,68511,,51204,79091,36735
62289,38833,81667,81042,,37500,41250,31875
62293,44281,39524,42656,,45270,60417,35921
62294,51622,80426,77917,116699,47203,67250,37120
62295,40196,46103,46103,,38802,55938,32188
62298,44858,55301,56042,,44020,53075,38873
62355,19934,32679,33571,,18355,23813,14470
62560,37857,72750,66875,,34327,44219,31684
62572,44750,40577,,,45880,52500,36964
62626,37302,,,,37076,48573,33219
62630,40000,,,,43047,67813,16146
62638,47783,49000,48750,72750,47656,66875,35365
62640,29063,61250,65673,51667,28424,32935,25354
62649,37875,65417,65417,,33000,36058,27031
62667,41500,53929,53929,,40200,28750,42972
62672,25833,,,,24167,34688,17639
62674,23936,83125,83125,,23059,27368,16953
62685,34949,36719,38085,,34647,50192,29735
62690,38301,,,,35286,54116,24017
62801,31546,40257,40168,46250,30458,40732,24619
62875,35938,42625,43000,,35391,46094,28365
62882,25347,51000,50667,,23293,27917,19936
63005,84042,84727,87039,83925,83496,119565,61268
63010,38794,53750,53600,,37521,49583,27950
63011,55151,58594,58455,,54847,76559,44307
63012,48012,53317,52885,,47931,53705,43654
63013,48797,,,,47706,52629,40250
63014,37244,36434,36434,,39141,71250,34485
63015,31510,48750,48750,,30633,35135,27869
63016,38961,40817,48333,29188,38835,49113,30893
63017,63731,73242,74354,9708,63041,99506,44362
63019,36705,41063,41813,,35956,44583,30262
63020,33583,52464,54464,50809,32651,42335,27014
63021,53560,56429,52296,,53442,72154,40403
63023,39167,48917,49083,,38125,46599,29459
63025,60596,77381,62083,80833,60088,78396,49359
63026,44387,46313,46417,,43840,56829,34757
63028,36050,46528,46849,,34847,48907,29109
